S1-1,S1-2,S1-3,S1-4,S1-5_1,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,cluster_tsne,cluster_pca
1,3,1,1,25,1,1,2,1,1,2,0,0
1,10,1,1,21,1,2,2,6,1,3,1,2
1,11,1,4,19,1,2,2,1,1,5,0,0
1,11,4,5,21,8,2,4,2,6,2,2,1
1,3,2,2,21,1,2,2,1,6,3,1,2
2,6,1,4,22,4,2,1,1,6,3,0,0
1,10,1,1,21,1,2,1,6,6,2,0,2
2,7,1,1,29,2,1,5,1,1,3,2,1
2,7,2,2,25,1,1,2,2,1,3,0,0
2,7,2,2,28,8,1,5,1,1,3,1,2
2,7,2,2,27,1,1,2,2,1,3,0,0
2,7,2,2,27,1,1,2,2,1,3,2,1
1,14,1,2,32,1,2,1,3,2,1,0,0
1,10,2,1,21,1,2,1,1,6,2,2,0
1,1,2,1,20,1,2,2,3,1,2,1,2
1,10,2,1,20,1,1,2,2,3,4,0,1
1,10,2,1,20,1,2,2,1,1,3,2,1
3,10,2,1,24,3,2,2,3,2,2,2,2
1,10,2,1,18,1,2,1,5,6,5,0,0
1,10,2,1,19,1,2,2,1,1,2,0,0
1,10,2,1,20,1,2,1,1,1,2,2,1
1,10,2,1,21,3,2,1,1,5,2,2,0
1,2,2,1,19,1,2,2,2,3,2,0,1
2,13,2,1,22,1,2,2,4,1,4,1,0
1,10,2,1,20,3,2,1,3,1,1,1,2
1,10,2,1,21,4,2,2,1,4,2,0,1
1,11,2,1,21,1,2,2,6,3,2,0,0
2,10,2,1,26,1,1,2,1,6,2,2,1
1,10,2,1,20,1,1,2,4,3,3,1,0
1,10,4,3,22,4,2,2,1,5,3,2,0
1,10,2,1,22,1,2,3,5,6,4,0,0
1,10,2,1,21,1,2,1,2,1,3,1,2
1,10,1,2,20,1,2,2,3,6,2,1,2
1,10,2,1,21,4,2,2,1,4,5,2,1
3,5,1,2,23,4,2,5,2,6,2,2,1
1,10,2,1,21,1,2,4,5,1,2,2,0
1,8,2,1,26,7,2,2,1,5,5,1,2
2,9,2,1,30,1,1,2,5,3,3,0,0
1,11,2,1,19,1,2,2,6,6,3,1,2
1,11,2,1,19,4,2,1,6,1,3,1,0
1,2,2,1,20,3,2,2,5,4,3,1,2
1,10,1,2,21,1,2,2,4,1,5,0,1
1,3,2,1,22,1,2,4,1,6,2,1,2
1,10,2,1,18,1,2,2,2,4,1,2,1
1,10,2,1,22,1,2,2,3,2,3,0,0
1,10,2,1,20,2,2,2,3,6,2,2,0
1,10,2,5,21,4,2,5,5,1,3,2,1
1,2,2,1,20,7,2,2,6,6,3,0,0
1,10,2,1,20,4,1,2,6,5,2,2,1
3,2,1,2,37,1,2,2,1,2,3,0,0
1,10,2,1,22,4,2,2,5,6,2,2,0
1,10,2,1,21,3,2,2,4,3,2,1,0
1,10,2,1,21,1,1,1,3,1,2,1,2
1,11,2,1,21,1,2,2,1,6,2,1,2
1,3,2,1,20,1,2,2,6,6,3,2,0
1,10,2,1,20,3,2,4,2,3,2,0,0
1,3,2,1,21,3,2,2,1,1,3,2,0
1,11,2,4,20,4,2,2,1,5,3,0,0
2,2,1,2,21,1,1,2,4,1,2,0,0
1,10,2,1,18,1,2,1,5,6,3,1,2
2,12,2,1,23,1,2,2,6,6,3,2,1
1,5,1,2,20,4,2,2,3,5,2,0,1
1,11,2,1,20,7,2,2,1,2,3,2,1
1,10,2,1,24,1,2,1,4,6,2,1,2
1,11,2,1,18,4,2,1,6,1,2,0,0
1,10,1,2,22,1,2,4,5,2,3,1,2
3,11,2,1,26,4,2,2,2,1,2,2,1
